,titles,Requirments,Experince,links,Company_name,country,city,address,job_since,company_link,full_part,job_description,job_requirement,jobs_skills,company_logo
0,Data Architect," IT/Software Development , Analyst/Research , Engineering - Telecom/Technology , AWS , Azure , Big Data , Computer Engineering , Computer Science , Data , Data Modeling", 3+ Yrs of Exp ,https://wuzzuf.net/jobs/p/qOgnbq0NmyDm-Data-Architect-Centro-CDX-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3,Centro CDX, Egypt , Cairo,Maadi,2 days ago,https://wuzzuf.net/jobs/careers/Centro-Global-Solutions-Egypt-2799,Full Time,"Job Description
Our company is searching for a meticulous and experienced data architect to join our talented team. Your central responsibility as the data architect will be to develop, optimize, and oversee our company’s conceptual and logical data systems. Your duties may include preparing architect reports, monitoring the system, and supervising system migrations.
To succeed in this role, you should know how to examine new data system requirements and implement migration models. The ideal candidate will also have proven experience in data analysis and management, with excellent analytical and problem-solving abilities.
Responsibilities:
Design and implement effective database solutions and models to store and retrieve company data.
Examine and identify database structural necessities by evaluating client operations, applications, and programming.
Assess database implementation procedures to ensure they comply with internal and external regulations.
Install and organize information systems to guarantee company functionality.
Prepare accurate database design and architecture reports for management and executive teams.
Oversee the migration of data from legacy systems to new solutions.
Monitor the system performance by performing regular tests, troubleshooting, and integrating new features.
Recommend solutions to improve new and existing database systems.
Educate staff members through training and individual support.
Offer support by responding to system problems in a timely manner.","Job Requirements
Bachelor’s degree in computer science, computer engineering, or relevant field.
A minimum of 3+ years’ experience in a similar role.
Strong knowledge of database structure systems and data mining
Strong knowledge in Data warehousing, Data Lake, Data modeling, ETL, incorta, informatica. Azure data factory, AWS, IICS
Excellent organizational and analytical abilities.
Outstanding problem solver.
Good written and verbal communication skills","['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'AWS', 'Azure', 'Big Data', 'Computer Engineering', 'Computer Science', 'Data', 'Data Modeling', 'Data Warehousing', 'ETL', 'Engineering', 'Information Technology (IT)', 'Informatica', 'Incorta', 'DWH']",https://images.wuzzuf-data.net/files/company_logo/Centro-Global-Solutions-Egypt-2799-1638874864.png
1,Data Scientist Manager," IT/Software Development , Analyst/Research , Engineering - Telecom/Technology , Communication skills , Computer Science , Data Analysis , Economics , Mathematics , Management , Banking Sector", 7 - 10 Yrs of Exp ,https://wuzzuf.net/jobs/p/2pF5Y3Tq2cjq-Data-Scientist-Manager-Tamweely-Cairo-Egypt?o=2&l=sp&t=sj&a=data science|search-v3,Tamweely, Egypt , Cairo,Shubra,5 days ago,https://wuzzuf.net/jobs/careers/Tamweely-Egypt-30002,Full Time,"Job Description
Strong abilities in Identifying and analyzing relationships between numbers.
Making use of graphical information while working.
Looking out for new opportunities for process improvement.
Identifying critical metrics and coming up with recommendations on what data to collect.
Examining, processing, and performing quality control checks on the gathered data.
Liaising with business Sector in order to understand the requirements for reporting and delivering correct and accurate information.
Analyzing, interpreting, and presenting results by implementing different tools and techniques.
Creating and enforcing functional policies for effective data management.
Planning and implementing several efficient Techniques and secure procedures for data management and analysis with attention to all technical aspects.
Monitoring and overseeing the use of data systems.
Formulating and implementing several management techniques for quality data collection, in order to ensure adequacy, accuracy, and legitimacy of data.
Ensuring that digital databases and archives are safe and immune to security breaches and data losses by liaising with Information Technology Center ","Job Requirements
Excellent written and oral communication skills, as well as interpersonal skills.
Sound analytical mindset and problem-solving skills with the ability to gather, organize, analyze, and discharge significant amounts of information with accuracy and particular attention to detail.
Several years of proven work experience as a data analyst or business data analyst. 
A Bachelor’s degree in Mathematics, Economics, Computer Science, Information Management, or Statistics, or in any other relevant program.
Adequate computer literacy skills with strong knowledge and familiarity with reporting packages.","['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Communication skills', 'Computer Science', 'Data Analysis', 'Economics', 'Mathematics', 'Management', 'Banking Sector', 'Information Technology (IT)', 'Microsoft Office', 'Statistics']",https://images.wuzzuf-data.net/files/company_covers/thumbs/a6977228b390a974a544224f734e42c4.jpeg
2,Data Scientist “Mathematics/Physics”," IT/Software Development , Engineering - Telecom/Technology , Business Objects , Computer Science , D3 , Data Mining , Gurobi , Information Technology (IT) , Mathematics , Python", 7 - 10 Yrs of Exp ,https://wuzzuf.net/jobs/p/bRZ7uIbexSQa-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=3&l=sp&t=sj&a=data science|search-v3,Dafa, Egypt ,Cairo,Cairo,4 days ago,https://wuzzuf.net/jobs/careers/Tarseya-Egypt-76749,Full Time,"Job Description
We are looking for someone with 7-10 years of experience mining/manipulating data sets and building statistical models, has a Master’s or PHD in Physics/Statistics, Mathematics, Computer Science or another quantitative field.
Job Description
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.","Job Requirements
Requirements 
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.
Experience working with and creating data architectures.
Coding knowledge and experience with several languages: C, C++, Java,
JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.","['IT/Software Development', 'Engineering - Telecom/Technology', 'Business Objects', 'Computer Science', 'D3', 'Data Mining', 'Gurobi', 'Information Technology (IT)', 'Mathematics', 'Python', 'Spark', 'Statistics']",https://images.wuzzuf-data.net/files/company_logo/Dafa-Egypt-76749-1662034171.png
3,Data Warehouse Engineer," Installation/Maintenance/Repair , IT/Software Development , Engineering - Telecom/Technology , Data Warehouse , Engineering , Computer Science , Computer Engineering , Information Technology (IT) , Banking , Oracle", 10+ Yrs of Exp ,https://wuzzuf.net/jobs/p/7aAnJajW6GRA-Data-Warehouse-Engineer-ITS-Kuwait-City-Kuwait?o=4&l=sp&t=sj&a=data science|search-v3,ITS, Kuwait ,Kuwait City,Kuwait City,13 days ago,https://wuzzuf.net/jobs/careers/ITS-Egypt-29055,Full Time,"Job Description
10+ years of IT experience in Development, Implementation of applications using SQL, PL-SQL, Oracle, Sybase ASE ,Sybase IQ and Microsoft APS (Analytics Platform System)
Good Experience in writing complex SQL Queries with good knowledge and hands on in Oracle/Microsoft APS (Analytics Platform System) Database like Database queries, Cursors, Stored Procedures, Functions, and Packages in PL/SQL.
Good Knowledge to Data Warehousing Concepts and conceptual/physical data Model design
Good Knowledge on different source system like Finacle, Phoenix, IMAL (path solutions), IFRS9, ACM and AMBIT FOCUS (FIS Solutions) as we extract data from mentioned source systems.
Good Knowledge in Supporting & Developing Regulatory Reporting systems (like : XLerator Fintellix  Application)
Good Exposure on performance tuning of the database and SQL queries for different databases.
Good competence in Analyzing and problem solving.
Good knowledge on Finance domain (Core Banking).
Capable of working independently and as well as part of a team.
Good Knowledge in programing language such as Visual studio .net , Java Script.
Good interpersonal, communication and fast learning skills.
Highly adaptive to any type of work environment and technology.
Good knowledge for Database (RDBMS)such as  Oracle 11g and higher , Microsoft APS , SQL-Server  and Sybase ASE & IQ
Good knowledge of ETL/ELT tools such as Informatica PowerCenter 9.6.1 and higher
Capable of writing BRD (Business Requirement Document) and FSD (Functional Specification Document)","Job Requirements
Academic profile;
Bachelor’s Degree in Computer Science, Software Engineering or related field.
Required Skills:
Problem Solving:
Good analytical and decision-making skills.
Results oriented
Communication skills
Good command of the English language","['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Data Warehouse', 'Engineering', 'Computer Science', 'Computer Engineering', 'Information Technology (IT)', 'Banking', 'Oracle', 'SQL', 'Sybase', 'Database', 'Software Engineering', '.Net', 'JavaScript']",https://images.wuzzuf-data.net/files/company_covers/thumbs/fec6f179a65a796d0cd9eba5a236acfc.jpeg
4,Senior Data Analyst," IT/Software Development , Analyst/Research , Engineering - Telecom/Technology , Data , Google Analytics , Marketing , Management , MS Office , RSC , Analysis", 5 - 9 Yrs of Exp ,https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt?o=5&l=sp&t=sj&a=data science|search-v3,Confidential, Egypt ,Cairo,Cairo,12 days ago,Confidential,Full Time,"Job Description
Egybell is hiring RSC Analytic Manager for a comoany located in october
Job description:
1. Responsible for preparing and analyzing data from all projects covered by RSC ”Remote Support Center” unit.
2. Build different types of dashboards and presentations illustrating the situation of the covered projects.
3. Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.
4. Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions.
5. Design and build technical processes to address business issues.
6. Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics.
7. Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes.
8. Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.
9. Organize and drive successful completion of data insight initiatives through effective management of analyst and data employees and effective collaboration with stakeholders.
10. Communicate results and business impacts of insight initiatives to stakeholders within the company.
 ","Job Requirements
Additional Requirements:
1. To have good knowledge of Tableau and ERISITE Setup.
2. To be Excellent user for MS office package and data management.
 Behaviors Skills:
1. Presentation, negotiation and argumentation skills.
2. Very good leadership and management skills.
3. Drive innovation & commercial thinking.
4. Decision making & initiating action.
5. Ability to adapt to changes.
6. Self-motivated.
7. Take leads if needed and can be team player.
8. Excellent social skills and strong customer orientation.
9. Capable of coping with pressures & setbacks.
10. Helpful, supportive and understand to make other shine.
11. Positive, flexible, pro-active, act and drive with urgency.
12. Working effectively under pressure.
 Years of Experience& Certifications:
1. Min 5 years working in similar roles (Working with Erisite is plus)
Require laptop and mobile package.","['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data', 'Google Analytics', 'Marketing', 'Management', 'MS Office', 'RSC', 'Analysis', 'Computer Science', 'Data Analysis', 'Data Management', 'Information Technology (IT)', 'Tableau']",Confidential
5,Data Analytics Engineer," IT/Software Development , Engineering - Telecom/Technology , sql , PostgreSQL , Python , BI , Linux , Database , Thingsboard , IOT", 3 - 5 Yrs of Exp ,https://wuzzuf.net/jobs/p/qrvyUBYzpj5p-Data-Analytics-Engineer-Dar-Al-Handasah-Giza-Egypt?o=6&l=sp&t=sj&a=data science|search-v3,Dar Al Handasah, Egypt , Giza,Smart Village,13 days ago,https://wuzzuf.net/jobs/careers/Dar Al Handasah-Egypt-83067,Full Time,"Job Description
Has a clear understanding of data analysis principles and formulas
Ability to develop software that collects, sorts and structures data and produces predictions, insights, recommendations, etc.
Ability to design data models, gather information, write code, maintain data documentation, communicate results and collaborate with other members ","Job Requirements
Programming skills: Python, R
Database: SQL, PostgreSQL, TimescaleDB (Time series database)
OS: Linux (Ubuntu) and Windows
Knowledge of analytics software like MapReduce
Understanding of ML algorithms and AI techniques
Power BI knowledge or the like is a plus
Thingsboard knowledge is a plus
IoT technologies knowledge is a plus ","['IT/Software Development', 'Engineering - Telecom/Technology', 'sql', 'PostgreSQL', 'Python', 'BI', 'Linux', 'Database', 'Thingsboard', 'IOT', 'Power BI', 'MapReduce', 'Information Technology (IT)', 'Computer Science', 'Algorithms']",https://images.wuzzuf-data.net/files/company_logo/Dar-Al-Handasah-Egypt-83067-1664268507.jpg
6,Senior Data Analyst," IT/Software Development , Analyst/Research , Engineering - Telecom/Technology , BI , BI Developer , Computer Science , developer , Information Technology (IT) , Power , Power BI", 2 - 5 Yrs of Exp ,https://wuzzuf.net/jobs/p/TWguALrIS6vT-Senior-Data-Analyst-Alarabia-Group-Cairo-Egypt?o=7&l=sp&t=sj&a=data science|search-v3,Alarabia Group, Egypt , Cairo,10th of Ramadan City,13 days ago,https://wuzzuf.net/jobs/careers/Alarabia-Group-Egypt-11230,Full Time,"Job Description
To understand business requirements in the BI context and design data models to convert raw data to meaningful insights.
To create dashboards and visual interactive reports using Power BI.
To identify KPIs with clear objectives and monitor them consistently.
To analyze data and present it through reports that can help in decision-making.
To design, develop, and deploy Power BI scripts and perform efficient detailed analysis.
To perform DAX queries and functions in Power BI.
To create charts and document data with algorithms, parameters, models, and relations explanations.
To perform SQL querying for best results.
To use filters and graphs for a better understanding of the data.
To define and design new systems by analyzing current ETL processes.
To make technical changes to existing BI systems in order to enhance their working.
Develop and execute database queries and conduct analysis.
Maintain and support data analytics platforms.","Job Requirements
BSc/BA in Computer Science or relevant field
2 to 5 Years of experience in the same position.
Experience in PowerBI dashboard design, development and publishing
Experienced in analyzing data outside PowerBI using other tools
Very good knowledge of (SQL queries),, (SSRS) and (SSIS)
Background in data warehouse design (e.g. dimensional modeling) and data mining
In-depth understanding of database management systems.
Familiarity with BI technologies (MS Power BI or similar tools)","['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'BI', 'BI Developer', 'Computer Science', 'developer', 'Information Technology (IT)', 'Power', 'Power BI', 'power bi developer', 'SQL']",https://images.wuzzuf-data.net/files/company_covers/thumbs/c4eb23abeef4aaef57b4458ba53442d6.png
7,Network & Data Engineer," males_only , IT/Software Development , Manufacturing/Production , Engineering - Telecom/Technology , , CCNA Security , Veeam , SCDPM , Engineering , Technical Support , Information Technology (IT) , Troubleshooting", 7 - 10 Yrs of Exp ,https://wuzzuf.net/jobs/p/o9ntjhmKwbz5-Network-Data-Engineer--Second-Line-Support-Cairo-Egypt?o=8&l=sp&t=sj&a=data science|search-v3,Confidential, Egypt , Cairo,Obour City,18 days ago,Confidential,Full Time,"Job Description
Provide technical support to users of IT services our corporate
Assist users with problems related to computer and communications services, including operating systems, local area network (LAN) services and various applications packages
Gather data and perform diagnostic techniques to help identify solutions to problems
Monitor the resolution of users' problems; expedite problem resolution efforts and coordinate with vendors and other technicians to resolve problems with telecommunication services, computer hardware, software and procedures
Serve as a principal point of contact for resolving user questions or problems concerning IT automation systems, software and/or hardware problems, password violations, and telecommunications trouble and work orders.
Determine the exact nature of the problem (e.g., routine, non-routine, user error, faulty data lines, equipment malfunctions, software malfunctions, etc.) in order to provide or assist technicians, specialists and users with solutions to problems, and if you can’t solve it escalate to second line support
Collect information from callers to be used in the troubleshooting and workstation and/or printer services.
Performs other duties as assigned.","Job Requirements
You Must Have
Males only
Windows Server 2016  Directory Services and an other built in server Like DNS , DHCP , File Service 
Google G-Suite Services 
Network Engineering LAN/WAN
Cisco CCNA , CCNP Swathing and routing is preferred 
CCNA Security
Cloud Computing and Virtualization Concepts is preferred 
Data Engineering and Backup Concepts (Veeam , SCDPM)
Maintenance of computer equipment, workstation and printer troubleshooting and repair, telecommunications and teleconferencing equipment.
Strong interpersonal and IT troubleshooting skills.","['IT/Software Development', 'Manufacturing/Production', 'Engineering - Telecom/Technology', '· CCNA Security', 'Veeam', 'SCDPM', 'Engineering', 'Technical Support', 'Information Technology (IT)', 'Troubleshooting', 'Computer Science', 'CCNA', 'DNS', 'CCNP']",Confidential
8,Data Analyst," IT/Software Development , Analyst/Research , Analysis , Analyst , Data , Data Analysis , Data Analyst , Information Technology (IT) , Tableau , SPSS", 3 - 18 Yrs of Exp ,https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3,Hands of Hope Physical Therapy & Wellness, Egypt , Cairo,Maadi,24 days ago,https://wuzzuf.net/jobs/careers/Hands of Hope Physical Therapy & Wellness-Egypt-76168,Full Time,"Job Description
Track, collect, and interpret data, then analyze results using statistical techniques
Identify, analyze and interpret trends or patterns in complex data set
Provide insights and make recommendations based on data analysis
Google Analytics and similar platforms to present actionable insights in a visually appealing format.
Apply Data Cleaning Techniques for historical data.
Interpret data & analyze results to provide ongoing reports and dashboards
Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.
Build company balance scorecard model
Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.
Provide quality assurance of imported data
Processing confidential data and information according to guidelines.
Managing and designing the reporting environment, including data sources, security, and metadata.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Generating reports from single or multiple systems.
Troubleshooting the reporting database environment and reports.
Evaluating changes and updates to source production systems.
Training end-users on new reports and dashboards.
Providing technical expertise in data storage structures, data mining, and data cleansing.","Job Requirements
Essential experience in one or more of the data analysis tools (SQL, SPSS, VBA, R, Tableau, SAS, Microsoft Power BI, google data studio,…)  
3+ years in a data analyst role at least.
Expert-level proficiency with Excel and PowerPoint. Experience with Google Analytics, and Data Visualization tools.
Ability to collaborate effectively and work as part of a team
Strong attention to detail
Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives.
Collaborative in nature with a passion for developing relationships.
Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment.
Ability to work with stakeholders to assess potential risks.
Ability to analyze existing tools and databases and provide software solution recommendations.
Ability to translate business requirements into non-technical, lay terms.
High-level experience in methodologies and processes for managing large-scale databases.
Demonstrated experience in handling large data sets and relational databases.
Understanding of addressing and metadata standards.
High-level written and verbal communication skills.","['IT/Software Development', 'Analyst/Research', 'Analysis', 'Analyst', 'Data', 'Data Analysis', 'Data Analyst', 'Information Technology (IT)', 'Tableau', 'SPSS', 'SQL', 'SAS', 'Google Analytics', 'Epidemiology', 'Epidemiologist', 'Computer Science', 'Statistics']",https://images.wuzzuf-data.net/files/company_logo/9483258146258857cdb3da.png
9,Data Analyst," Accounting/Finance , IT/Software Development , Analyst/Research , Analysis , business , Computer Science , Commerce , analytical , Communication skills , Analyst", 2 - 4 Yrs of Exp ,https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=10&l=sp&t=sj&a=data science|search-v3,Gila Electric, Egypt , Cairo,New Cairo,25 days ago,https://wuzzuf.net/jobs/careers/Gila-Electric-Egypt-23151,Full Time,"Job Description
Interpret data, analyze results using statistical techniques and provide ongoing reports across different levels of the Life division.
Obtain data from internal data sources and maintain databases/data systems.
Actively identify, analyze, and interpret trends or patterns in simple to complex data sets.
Managing master data, including creation, updates, and deletion.
Managing users and user roles.
Provide quality assurance of imported data, working with quality assurance analysts if necessary.
Processing confidential data and information according to guidelines.
Helping develop reports and analysis.
Managing and designing the reporting environment, including data sources, security, and metadata.
Supporting initiatives for data integrity and normalization.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Generating reports from single or multiple systems.
Troubleshooting the reporting database environment and reports.
Evaluating changes and updates to source production systems.
Training end-users on new reports and dashboards.
Providing technical expertise in data storage structures, data mining, and data cleansing.","Job Requirements
Bachelor’s degree from an accredited university or college in computer science / Commerce.
Work experience as a data analyst or in a related field.
An analytical mindset with problem-solving skills
Ability to analyze existing tools and databases and provide software solution recommendations.
Ability to translate business requirements into non-technical, lay terms.
High-level experience in methodologies and processes for managing large-scale databases.
Demonstrated experience in handling large data sets and relational databases.
High-level written and verbal communication skills.","['Accounting/Finance', 'IT/Software Development', 'Analyst/Research', 'Analysis', 'business', 'Computer Science', 'Commerce', 'analytical', 'Communication skills', 'Analyst', 'Data Analysis', 'Information Technology (IT)', 'Data Analyst']",https://images.wuzzuf-data.net/files/company_logo/Gila-Electric-Egypt-23151-1597271038.jpg
