id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
in-f464e2db3340c936,indeed,https://id.indeed.com/viewjob?jk=f464e2db3340c936,https://goldenagri.wd3.myworkdayjobs.com/en-US/SMART_Careers/job/DKI-Jakarta/HR-Staff_R-26000997,HR Staff,Smart Agribusiness and Food,"Jakarta, JW, ID",2026-06-26,fulltime,,,,,,False,,,,,"**Job Description Summary :**


Supporting HR administrative operations, maintaining employee data, and ensuring smooth communication within the organization. Strong Excel skills and attention to detail are essential for this role.

**Job Description :**

* Handle daily HR administrative tasks and employee documentation.
* Maintain and update HR databases and employee records.
* Prepare reports and HR data using Microsoft Excel.
* Support recruitment, onboarding, attendance, and leave administration.
* Coordinate with employees and internal departments professionally.
* Assist with HR reporting and data analysis when required

**Job Requirement :**

* Bachelor’s degree in Management, Psychology, Human Resources, or related fields.
* Minimum 1–3 years of experience in HR Administration or related roles.
* Proficient in Microsoft Excel and data processing.
* Good communication skills and responsive attitude.
* Detail\-oriented and able to manage multiple tasks.
* Experience as an HR Data Analyst or related role is an advantage.
* Willing to be located in Jakarta

**“Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person”**",,https://id.indeed.com/cmp/Smart-Agribusiness-and-Food,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cafec34e1ef97da8a8f50c2b291be73f,,,,,,,,,,,
in-ebd77d9e8b39e572,indeed,https://id.indeed.com/viewjob?jk=ebd77d9e8b39e572,https://apply.workable.com/j/09C492E89C,AI/Machine Learning Engineer,TechConnect GmbH,"Jakarta, JW, ID",2026-06-26,contract,,,,,,False,,,,,"***CONTRACT DETAILS***

* Duration: 12\-months fixed term (subject to change based on business needs)
* Engagement: Through 3rd party/vendor
* Work setup: Hybrid with dedicated full office hours

**Lead/Senior**

* Lead the end\-to\-end design, development, and deployment of ML models and AI systems across multiple product lines.
* Strategize the AI/ML roadmap in collaboration with product, engineering, and data leadership — aligning technical investments with business objectives.
* Authorize architectural decisions for ML infrastructure, including model serving, feature stores, and data pipelines.
* Synergize efforts across data science, software engineering, and platform teams to ensure seamless integration of AI capabilities into production.
* Negotiate technical trade\-offs and recommend approaches that balance speed, scalability, accuracy, and cost.
* Evaluate and recommend emerging AI/ML technologies and frameworks to continuously raise team capabilities.
* Lead model performance reviews, root cause analyses for model degradation, and drive remediation strategies.
* Formulate and enforce MLOps best practices — CI/CD for ML, model versioning, monitoring, and retraining pipelines.
* Mentor and guide junior and mid\-level engineers, fostering a culture of technical excellence.
* Plan and control project timelines, resources, and delivery milestones for AI/ML workstreams.

**Mid/Junior**

* Plan and implement ML models for tasks such as classification, regression, NLP, or computer vision under senior guidance.
* Control data preprocessing and feature engineering pipelines to ensure high\-quality model inputs.
* Evaluate model performance using appropriate metrics and recommend improvements based on experimental results.
* Formulate and run experiments to test hypotheses; document and share findings with the team.
* Contribute to ML workflows covering data ingestion, model training, validation, and basic deployment steps.
* Recommend tools or approaches to solve specific ML challenges, backed by research and prototyping.
* Plan and maintain clear documentation for models, experiments, and data pipelines.
* Collaborate with data engineers, software engineers, and product managers to understand requirements and deliver solutions.
* Continuously evaluate new techniques and research papers relevant to the team's domain.

  

**Requirements** **Lead/Senior**

* 7\+ years of hands\-on experience in ML, AI engineering, or a closely related field, with a track record of production\-grade ML systems.
* Deep expertise in ML frameworks such as TensorFlow, PyTorch, or JAX, and experience with large\-scale model training and optimization.
* Strong proficiency in Python plus MLOps tooling (MLflow, Kubeflow, Airflow, or equivalent).
* Proven experience designing and operating ML serving platforms (TorchServe, Triton, Vertex AI, SageMaker) including monitoring and retraining.
* Expertise with large\-scale distributed data processing (Spark, Dask, or similar).
* Hands\-on experience with cloud platforms (AWS, GCP, or Azure) and container orchestration (Docker, Kubernetes).
* Deep background in NLP, computer vision, recommendation systems, or time\-series forecasting.
* Strong statistical modeling, feature engineering, and model evaluation skills.
* Demonstrated ability to communicate complex technical concepts to non\-technical stakeholders and influence strategic decisions.
* Experience leading technical teams or serving as tech lead on cross\-functional AI projects.
* Good communication skills in Bahasa Indonesia and English, written and spoken.

**Mid/Junior**

* 1–4 years of experience in ML, data science, or AI engineering, with at least one project delivered in a professional or academic setting.
* Solid understanding of core ML concepts: supervised/unsupervised learning, model evaluation, overfitting, and regularization.
* Proficiency in Python with hands\-on experience using scikit\-learn, TensorFlow, PyTorch, or equivalent.
* Familiarity with data manipulation using pandas, NumPy, and SQL.
* Basic understanding of MLOps concepts — experiment tracking, model versioning, pipeline automation (MLflow, DVC, or similar).
* Exposure to cloud platforms (AWS, GCP, or Azure) and version control with Git.
* Strong analytical mindset; able to formulate experiments and interpret results critically.
* Eagerness to learn and grow in a fast\-paced engineering environment.
* Good communication skills in Bahasa Indonesia and English, written and spoken.
* Ability to work collaboratively in a cross\-functional team and take direction constructively.",,https://id.indeed.com/cmp/Techconnect-Gmbh,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2ecaa677a47cfd35b66faadf16117552,http://www.techconnect.de,"Headquarter & Engineering Center - 
Parkring 15 - 85748 Garching b. München",51 to 200,$25M to $100M (USD),"TechConnect ist Teil einer Technologierevolution. Wir entwickeln, integrieren, testen, analysieren und beraten.",,,,,,
in-7d3da2caf1d52d8e,indeed,https://id.indeed.com/viewjob?jk=7d3da2caf1d52d8e,https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/Wisma-GKBI-Jakarta-Indonesia/AI-Engineer_R118094,AI Engineer,Samsung Electronics,"Jakarta, JW, ID",2026-06-26,fulltime,,,,,,False,,,,,"**Position Summary**


We're looking for passionate and adaptable AI Engineer to join our team. Ideal candidates should have a strong experience in ML, NLP, or AI engineering, ideally with hands\-on LLM experience.**Role and Responsibilities**


1\. \[Finding areas to apply machine learning technology] Analyze data collected while using software in actual situation, measuring/inspecting process and etc. and analyze the possibility and effect of applying machine learning technology.


2\. \[Collecting and managing training data] Perform collecting and managing effective data used for training machine learning algorithm.


3\. \[Developing data pre\-processing algorithm] Apply the features of collected data well and implement pre\-processing algorithm that eases unnecessary complexity.


4\. \[Developing modeling and pattern recognition algorithm] Implement suitable machine learning model or algorithm in accordance with the purpose of application that users want.


5\. \[Developing performance evaluation measures] Write and perform measures on performance evaluation to evaluate and maintain the effectiveness of developed application.


6\. \[Securing and managing large\-scale computing resources] Participate in managing computing server to use algorithm that requires massive computing resources such as deep learning and massive data.

**Skills and Qualifications**

* Bachelor's degree in mathematics, Computer Science, Software Engineering or related discipline, or having equivalent work experiences is required, from Reputable Universities
* 2\+ years of experience in ML, NLP, or AI engineering, ideally with hands\-on LLM experience
* Fresh graduate are welcome to apply
* Familiar with deep learning concept and framework
* Have experience in automatic speech recognition or text\-to speech (Preferred)
* Have experience in ML, NLP, or AI engineering, ideally with hands\-on LLM experience

* **This position will be hired under a third\-party contract**
* **Samsung has a strict policy on trade secrets. In applying to Samsung and progressing through the recruitment process, you must not disclose any trade secrets of a current or previous employer.**",Computers And Electronics,https://id.indeed.com/cmp/Samsung-Electronics-9,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/08f9772288de0157ee1f9a21f4ef38a0,http://www.samsung.com,"129 Samseong-ro (Maetan-dong), Yeongtong- gu, Suwon-si, Gyeonggi","10,000+",more than $10B (USD),,,,,,,
in-1dcbc8c70b41e62f,indeed,https://id.indeed.com/viewjob?jk=1dcbc8c70b41e62f,http://id.indeed.com/job/data-analyst-1dcbc8c70b41e62f,DATA ANALYST,PT. DEVA MEDIKA INDONESIA,"Surabaya, JW, ID",2026-06-26,fulltime,,,,,,False,,,,,"Deskripsi Pekerjaan

Sebagai Data Analyst, Anda akan bertanggung jawab untuk mengelola infrastruktur data, melakukan analisis statistik, dan menyajikan visualisasi data yang membantu pemangku kepentingan (stakeholders) dalam pengambilan keputusan strategis.

✅ Kualifikasi Utama

* **Pengalaman:** Minimal **2 tahun** pengalaman kerja profesional di bidang Data Analytics atau peran sejenis.
* **Pendidikan:** Gelar Sarjana (S1\) di bidang Statistik, Matematika, Ilmu Komputer, Ekonomi, atau bidang terkait.
* **Keahlian Teknis:**
* Mahir dalam menggunakan **SQL** untuk penarikan dan manipulasi data.
* Menguasai alat visualisasi data seperti **Tableau, Power BI, atau Google Looker Studio**.
* Memiliki pemahaman kuat tentang bahasa pemrograman analitik (**Python atau R**).
* Terbiasa bekerja dengan dataset besar dan pembersihan data (data cleaning).
* **Soft Skills:** Kemampuan komunikasi yang baik untuk menjelaskan temuan teknis kepada audiens non\-teknis.

\*\* Tanggung Jawab

* Mengembangkan dan memelihara laporan serta *dashboard* harian/mingguan.
* Mengidentifikasi tren, pola, dan anomali dalam set data yang kompleks.
* Bekerja sama dengan tim Produk dan Pemasaran untuk mengoptimalkan strategi bisnis.
* Menjamin integritas dan kualitas data dalam setiap laporan.

Education:

* S1 (Preferred)

Experience:

* DATA ANALYST: 2 years (Preferred)

Work Location: In person",,https://id.indeed.com/cmp/Pt.-Deva-Medika-Indonesia-1,,,,,,,,,,,,
in-d28e43635ad9dbbf,indeed,https://id.indeed.com/viewjob?jk=d28e43635ad9dbbf,https://apply.careers.hsbc.com/job/Jakarta-Manager-Data-Project-West-12920/1364808757/?feedId=417557&utm_source=Indeed&utm_campaign=HSBC_Indeed,Manager Data Project,HSBC,"Jakarta, JW, ID",2026-06-25,fulltime,,,,,,False,,,,recruitment.hrd@hsbc.co.id,"**Some careers shine brighter than others.**

  

If you're looking for a role that will help you stand out at HSBC, take a look at how you can fulfil your potential.

  

International Wealth and Premier Banking (IWPB) helps deliver on HSBC’s purpose of opening up a world of opportunity by providing our customers with borderless banking and world\-class wealth management through best\-in\-class, mobile\-first capabilities, and exceptional people. Our international network and breadth of expertise enable us to support individuals, families, business owners, investors, and entrepreneurs. International Wealth and Premier Banking provides a leading premium proposition through Premier Banking and, together with our Private Bank, are present across the world’s most important markets, booking centres, and corridors most valued by our clients. Our wealth offering is further enhanced through our best\-in\-class manufacturing capabilities in Asset Management and Insurance.

  

We are currently seeking an experienced professional to join this team in the role **Manager Data Project.**

 **Responsibilities:**

The successful candidate will work closely with business stakeholders, data teams and technology teams to deliver high\-quality analytics solutions that support strategic decision\-making with following key responsibilities:

* Manage end\-to\-end delivery of data analytics and reporting projects
* Develop project plans, timelines, milestones, and resource requirements
* Coordinate activities across Data Analysts, Data Engineers, IT and business stakeholders
* Analyzing data, modelling data, documenting requirements and data pipeline specifications to enable data engineers to build models and data pipelines, and overseeing test and implementation of data products to production
* Coordinate User Acceptance Testing (UAT), deployment activities, and post\-implementation reviews
* Work with global and local teams to ensure successful project execution.

 **To be successful in this role, you should meet the following requirements:**

We are seeking a highly motivated Data Project Manager on a direct contract basis to lead and coordinate data and analytics initiatives across the organization. This role will require technical skills as well as soft skills:

* Strong understanding of data analytics and reporting
* Have good understanding of SQL and database concept
* Familiarity with data warehousing, ETL processes, and data governance practices
* Experience using project management tools such as Jira, Azure or Confluence
* Strong project planning and excellent communication and stakeholder management abilities.
* Strong analytical and problem\-solving skills.

 **You’ll achieve more at HSBC**

  

HSBC is committed to building a culture where all employees are valued, respected and every opinion counts. We take pride in providing a workplace that fosters professional development, flexible working, and opportunities to grow within an inclusive and diverse environment. We want everyone to **achieve** their potential with **equality** regardless of gender, ethnicity, disability, religion, age, or any other trait protected by applicable law. If you need any support or have any access requirements, we encourage you to inform us through email **at** recruitment.hrd@hsbc.co.id at the time of your application, so that we can support you through your recruitment journey.",,https://id.indeed.com/cmp/HSBC,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/2b4eeb3e6014ea36e3c02d2c339c675a,https://www.hsbc.com,"London, England","10,000+",more than $10B (USD),HSBC is one of the world’s largest banking and financial services organisations. We serve more than 40 million customers across a network that covers 64 countries and territories.,,,,,,
in-ff389455d26d739e,indeed,https://id.indeed.com/viewjob?jk=ff389455d26d739e,https://jobs.bayer.com/job/Jakarta-Product-Development-Scientist-DKI/1408312833/,Product Development Scientist,Bayer,"Jakarta, JW, ID",2026-06-25,,,,,,,False,,,,,"**Product Development Scientist**

  


  

  

**MAIN PURPOSE**

  


* Drive Precision Breeding technology for Product Development for Indonesia Corn Business.
* Provide technical leadership and insight to prioritize develop, implement and advance innovations into the pipeline and well as collaborate with product design and product development across region on building seed \& trait portfolio.
* Drive Product Development breeding roadmap definition and pipeline engineering.

  


**KEY TASKS AND RESPONSIBILITIES**

  


* Lead a structured commercial breeding program that utilises all the relevant components of an effective breeding program to deliver the expected products to the customers.
* Accountable for product development advancement decisions and managing the pipeline and pre\-commercial portfolio by product concept partnering across functions for efficient deployment of product and solutions.
* Define and continuously improve breeding schemes and precision breeding to maximize realized genetic gain in the pipeline.
* Collaborate with global breeding community, technology partners, testing teams and regional commercial team for strategic development of the Breeding program and implement strategies related to product development, assessment, advancement, and adaptation to different growing environments and management practices and Be an influential role model and foster strong collaborative relationships with all partners to create a future\-looking culture and great place to work.
* Lead advancement and implementation of traits in the product pipeline including the conversions.
* Drive cognitive pipeline analytics and AI models implementing data science and digital driven breeding pipeline using state of the art analytics of phenotypic and breeding data across locations and seasons.
* Drive inbred and product diversity analytics and germplasm enhancement / global leverage program, lead the germplasm component of tailored solutions and diversity.
* Lead the definition of the selection criteria for Product Development and acceleration of advancements by product concept.
* Design the experiment for the pipeline, the stage plan for PDev, E2E breeding roadmaps, and the solutions engineering components.
* Design product and solutions concepts to create next generation products informed by genomic and phenomics insights.
* Translate the value drivers of growers, customers and the value chain into innovation targets and co\-ordinate with design breeder for implementing the strategy for development of innovative products as approved.
* Drive stakeholder engagement with MD, and commercial teams to ensure product delivery and launch effectiveness of new products.
* + Serve as a content expert on products, methods of development and product positioning within R\&D, market development, commercial teams, customer events, external scientific and industry events.
* + Work closely with Patent Science, Regulatory and R\&D leadership to develop IP strategy and secure IP for product descriptions.

  


**QUALIFICATIONS AND COMPETENCIES**

  


* PhD with minimum of 1 year relevant experience. Demonstrated capabilities to develop, execute and evaluate complex programs.
* Quantitative genetics, Breeding and population genetics, Data scientist, Breeding workflow designers, Digital Skills, Programing, Data Analytics.
* High agility to respond to changing environments and adapt to new situations and work in a team.
* Effective verbal communication skills, essential to be fluent in English.
* Strong project management skills managing complex, multi\-faceted projects resulting in measurable success.
* Strong ability in building cross\-functional partnerships and influence others to drive results and innovation with customer\-centricity.
* Demonstration of application of VACC behavior and proved competencies to work in DSO environment.

  


**KEY WORKING RELATIONSHIP**

  


* Global Breeding Product Design
* Global Breeding Product Development
* Regional Crop Steering Teams
* Regional Product Development functions
* Global Breeding Capability Teams
* MD, regional Marketing and Sales Teams from respective countries
* Regulatory Team (global and local)

  


  

  

**Application Period:** 23/06/2026 **Reference Code:** 874358
  

**Division:** Crop Science **Location:** Indonesia : DKI Jakarta Jakarta : Jakarta
  

**Functional Area:** Biotechnology R\&D **Position Grade:** VS 1\.1
  

**Employment Type:** Regular **Work Time:** Standard  


  

  

  

**Contact Us**
  

  

Address Telephone E\-Mail",,https://id.indeed.com/cmp/Bayer,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c50d3a7d907f4910c1ec2d028d13bf23,https://www.bayer.com/en/career,Leverkusen,"10,000+",more than $10B (USD),"Bayer is a global enterprise with core competencies in the life science fields of healthcare & agriculture. Explore how you can impact our mission: Health for all, Hunger for none at career.bayer.com.",,,,,,
in-928d3c986e0f7b29,indeed,https://id.indeed.com/viewjob?jk=928d3c986e0f7b29,https://goldenagri.wd3.myworkdayjobs.com/en-US/SMART_Careers/job/DKI-Jakarta/AI-Analyst_R-26000998,AI Analyst,Smart Agribusiness and Food,"Jakarta, JW, ID",2026-06-25,fulltime,,,,,,False,,,,,"**Job Description Summary:**


AI Analyst is responsible for enabling data\-driven decision making across the organization by combining traditional Business Intelligence capabilities with modern AI\-powered analytics.

**Job Description:**

**Business Analytics \& Insight Generation**

* Develop and maintain dashboards, reports, and KPI monitoring solutions to provide visibility into business performance.
* Analyze data to identify root causes, patterns, and business improvement opportunities.
* Support business stakeholders in analyzing operational, financial, and commercial performance trends. Prepare analytical presentations and insights to support management decision making.
* Translate business questions into analytical requirements and meaningful metrics.
* Identify performance gaps, trends, risks, and opportunities through data analysis.
* Assist in standardizing KPI definitions and reporting frameworks across business functions.
* Work with stakeholders to define success metrics and measure business outcomes.
* Support data\-driven problem solving initiatives across multiple business functions.

**AI\-Powered Analytics**

* Utilize AI and GenAI tools to enhance analysis, insight generation, and business productivity.
* Support development of predictive and prescriptive analytics use cases such as forecasting, anomaly detection, demand prediction, and business recommendations.
* Assist in evaluating and deploying AI\-enabled solutions to improve business processes.
* Explore opportunities to automate repetitive reporting, analysis, and decision\-support activities using AI technologies.

**Data Management \& Governance**

* Ensure data accuracy, consistency, and integrity across reporting and analytics solutions.
* Perform data validation and reconciliation checks to maintain trust in analytics outputs.
* Maintain documentation of KPIs, business rules, data definitions, and analytical models.
* Adhere to enterprise data governance, security, and privacy standards.

**Stakeholder Collaboration**

* Collaborate with business users, IT teams, and data engineers to deliver analytics solutions.
* Facilitate discussions to understand business challenges and analytical requirements.
* Support user adoption of dashboards, analytics products, and AI solutions.
* Act as a bridge between business and technical teams to translate business needs into scalable analytics solutions.

**Job Requirements:**

* Bachelor's Degree in Business Analytics, Statistics, Mathematics, Economics, Computer Science, Information Systems, Industrial Engineering, or a related field.
* Minimum 2–5 years of experience in Business Analytics, Business Intelligence, Data Analytics, Reporting, or a related role.
* Strong analytical and problem\-solving skills with the ability to translate data into actionable business insights.
* Experience developing dashboards and reports using tools such as Power BI, Tableau, Looker, or similar BI platforms.
* Placement in Jakarta Head Office

**""Our company has never levied any fees for the recruitment process nor has it required to order tickets and accommodation through a certain travel agent or certain person""**",,https://id.indeed.com/cmp/Smart-Agribusiness-and-Food,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cafec34e1ef97da8a8f50c2b291be73f,,,,,,,,,,,
in-b898aa04bf049ea5,indeed,https://id.indeed.com/viewjob?jk=b898aa04bf049ea5,https://www.kalibrr.com/c/mitech/jobs/269039/iot-engineer,IoT Engineer,MiTech,"Jakarta, JW, ID",2026-06-25,,,,,,,False,,,,,"* Develop, implement, and maintain IoT applications for embedded systems using programming languages such as Python, C, C\+\+, JavaScript, and Assembly.
* Design and develop backend services using Node.js and APIs to enable seamless communication between IoT devices and cloud platforms.
* Design, integrate, configure, and troubleshoot IoT hardware components, including microcontrollers, microprocessors, sensors, actuators, and communication modules.
* Develop and optimize firmware/software for embedded devices to ensure high performance and reliability.
* Implement and manage IoT communication protocols such as Wi\-Fi, Bluetooth, BLE, Zigbee, LoRaWAN, RF, HTTP, MQTT, and CoAP to support secure and efficient device connectivity.
* Build and maintain real\-time data acquisition, synchronization, and communication between IoT devices and cloud platforms.
* Design and manage SQL and NoSQL databases for IoT data storage, processing, and retrieval.
* Analyze IoT\-generated data to identify trends, optimize system performance, and support predictive maintenance and business insights.
* Collaborate with data engineers and data scientists to implement machine learning models for intelligent IoT solutions.
* Ensure IoT systems comply with cybersecurity best practices by implementing encryption, authentication, access control, and secure communication protocols.
* Perform testing, debugging, performance optimization, and troubleshooting of IoT hardware and software solutions.
* Collaborate with cross\-functional teams, including hardware engineers, software developers, QA engineers, and business stakeholders, to deliver end\-to\-end IoT solutions.
* Prepare technical documentation, including system architecture, integration design, API documentation, and deployment guides.

  
* Minimum Qualifications: Programming and Software Development: Proficiency in languages such as Python, C, C\+\+, JavaScript, and Assembly is essential for developing IoT applications and embedded systems, Knowledge of Node.js and APIs is also valuable for backend development and device communication
* Hardware: Understanding microcontrollers, microprocessors, sensors, actuators, and IoT hardware components is critical. Engineers must know how to integrate and configure these devices for efficient data collection and processing. Designing and integrating sensors, processors, and network modules.
* Protocols: IoT engineers should be skilled in designing and managing networks using Wi\-Fi, Bluetooth, BLE, Zigbee, LoRaWAN, RF, HTTP, MQTT, and CoAP to ensure reliable device connectivity
* Data Analytics: Ability to analyze large datasets from IoT devices, implement machine learning models, and extract actionable insights is crucial for predictive maintenance, operational efficiency, and smart decision\-making .
* Database : Familiarity with cloud services, SQL, and NoSQL databases is necessary for real\-time data storage, synchronization, and IoT platform management
* Cybersecurity: Knowledge of encryption, access control, and security protocols is essential to protect IoT devices and networks from unauthorized access and cyber threats

  
Didirikan pada tahun 2012, memulai bisnis sebagai penyedia layanan untuk ATM. Saat ini perusahaan mengembangkan solusi dan penyedia layanan multi\-vendor, untuk menawarkan berbagai solusi dan layanan inovasi yang lebih luas. VISI Menghasilkan solusi dan layanan terbaik di bidang Layanan dan Konsultasi IT dengan upaya maksimal yang diarahkan pada kepuasan pelanggan. MISI Untuk membangun reputasi sebagai salah satu penyedia Solusi dan Layanan IT yang paling inovatif. Kami percaya dalam melakukan pekerjaan dengan cara yang paling efisien serta dengan metodologi yang kuat dan terstruktur, dengan evolusi bertahap dari kerja keras ke budaya kerja cerdas, untuk memenuhi kepuasan klien. IT Consulting \& Professional Services To keep pace in the digital age while controlling costs and mitigating business risks, you can no longer depend on the past as a guide for the future. Leverage our consulting services and technology expertise to accelerate your business transformation and innovation strategies. We help you create and execute strategies to unlock opportunities, optimize processes, and uncover cost savings, with the offering as follow: • Advisory Services. Our expert security consultants help you to secure your technologies by putting the right policies, processes, and architectures in place • Architecture consulting services. Use existing and estimated future application traffic patterns to design a technology architecture for your organization. • Project and programmed management services. We support the successful execution of your IT projects using robust, proven project management methodologies. •Application Customization and Programming Services. Our Developer expert could help you to provide the customization and enhancement of your existing applications. •QA and Automation Consultancy. Our QA and Automation expert will help you to ensure the quality of software development and deployment. Performing automated and manual tests to ensure the software created by developers is fit for purpose, include analysis of the software, and systems, mitigate risk and prevent software issues.",,https://id.indeed.com/cmp/Mitech,,https://www.mitech.om,Al Khuwayr al Janūbīyah,51 to 200,,,,,,,,
in-5719add8949c8248,indeed,https://id.indeed.com/viewjob?jk=5719add8949c8248,https://www.karir.com/opportunities/1401264,Machine Learning Engineer,ISIXI PRIVATE LIMITED,"Bekasi, JW, ID",2026-06-24,,,,,,,True,,,,,"**Informasi Lowongan**

**Tipe Pekerjaan** **Remote/On\-site** **Fungsi Pekerjaan**
Data Engineer

**Jenjang Karir**
Pemula / Staf

**Job Deskripsi**
Design and implement AI/ML solutions for enterprise use cases.


Build, evaluate, and optimize models for anomaly detection, forecasting, classification, scoring, recommendation, and decision support.


Work with structured and unstructured data, including time\-series, tabular, text, logs, events, records, transactions, and user feedback.


Define features, labels, training approach, validation approach, and model performance metrics.


Perform model testing, tuning, drift monitoring, and performance evaluation.


Design feedback loops based on user actions, system outcomes, and model performance.


Explore reinforcement learning where suitable for policy optimization, prioritization, recommendation, or workflow tuning.


Design and implement LLM/RAG workflows for summarization, explanation, Q\&A, knowledge retrieval, and task assistance.


Implement AI guardrails, grounding, audit trail, confidence display, and human approval workflow where required.


Apply appropriate AI techniques based on use case, reliability requirements, and governance needs.


Work with data, application, and platform teams to ensure data quality, traceability, and model input readiness.


Present AI approach clearly to technical and non\-technical stakeholders.

**Persyaratan**

**Tingkat Pendidikan**
S1

**Jurusan Pendidikan**
Ilmu Komputer

**Minimal Pengalaman*** 
**Deskripsi Persyaratan**
Bachelor’s degree in Computer Science, Data Science, Artificial Intelligence, Machine Learning, Software Engineering, Mathematics, Statistics, Engineering, or a related technical field.


Strong understanding of supervised learning, unsupervised learning, anomaly detection, classification, forecasting, model validation, model drift, and performance evaluation.


Experience with Python and ML libraries such as scikit\-learn, PyTorch, TensorFlow, XGBoost, or similar.


Experience working with time\-series, tabular, text, or operational data.


Understanding of neural networks, statistical modelling, and model selection trade\-offs.


Familiarity with LLMs, RAG, embeddings, retrieval, guardrails, and AI evaluation.


Strong analytical, problem\-solving, and communication skills.

**Skill yang Dibutuhkan**

**Lokasi**

**Kota**
Bekasi**Alamat**
Ruko Crystal Boulevard NC 9 Sumarecon Bekasi **Tentang Perusahaan**

**Isixi Private Limited**
0 subscriber **Industri**
Komputer / TI**Benefit****Deskripsi Perusahaan**",,https://id.indeed.com/cmp/Isixi-Private-Limited,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a8b75f38135d248bbad64aff9fd14af3,,,,,,,,,,,
in-022db378e5c1cfba,indeed,https://id.indeed.com/viewjob?jk=022db378e5c1cfba,https://career.indofood.com/vacancy_detail.aspx?id=14004,Management Service Business Analyst,PT Indofood Sukses Makmur Tbk,"Jakarta, JW, ID",2026-06-24,,,,,,,False,,,,,"Indoagri \- PT. Salim Ivomas Pratama Tbk.


Head Office \- Sudirman Plaza Indofood Tower \- Jakarta Selatan


S1


Pengalaman \- Tetap


  
### **Persyaratan Pekerjaan**


* Pendidikan minimal S1 dari jurusan IT, Sistem Informasi, Data Science, dsb.
* Memiliki pengalaman 1–3 tahun sebagai Data Engineer atau posisi serupa.
* Menguasai SQL dan memahami konsep database serta data warehousing.
* Berpengalaman dengan sistem OLAP seperti Snowflake, BigQuery, Redshift, atau Databricks.
* Memahami proses ETL dan data pipeline (tools seperti Airflow menjadi nilai tambah)
* Familiar dengan integrasi data dari sistem enterprise (SAP atau sejenisnya).
* Memiliki kemampuan komunikasi yang baik dan kemampuan analitis yang kuat.

### **Deskripsi Pekerjaan**


* Mengembangkan dan mengelola data pipeline untuk memastikan alur data berjalan otomatis, stabil, dan tepat waktu.
* Mengintegrasikan serta membangun proses alur data dari berbagai sumber (SAP, PPMS, TM1, checkroll, dll) agar siap dianalisis dan digunakan untuk dashboard.
* Membangun dan mengelola data warehouse untuk mendukung kebutuhan analisis bisnis.
* Melakukan proses ETL (Extract, Transform, Load) untuk menghasilkan data yang bersih dan terstruktur.
* Menjaga kualitas, konsistensi, dan keamanan data melalui proses validasi dan monitoring.
* Berkolaborasi dengan tim Business Analyst dan ICT dalam penyediaan data untuk reporting dan pengambilan keputusan.

  
Fungsi


Management Service Business Analyst
Berlaku Hingga


23 Agt 2026",,https://id.indeed.com/cmp/PT-Indofood-Sukses-Makmur-Tbk,,https://www.indofood.com,"Jakarta, ID","10,000+",more than $10B (USD),,,,,,,
